"(PDH-CSV 4.0) (India Standard Time)(-330)","\\RODNEY-A9F2EF35\ICMP\Messages Sent/sec","\\RODNEY-A9F2EF35\ICMP\Messages/sec","\\RODNEY-A9F2EF35\ICMP\Sent Echo/sec","\\RODNEY-A9F2EF35\Memory\% Committed Bytes In Use","\\RODNEY-A9F2EF35\Processor(_Total)\% Processor Time"
"04/01/2015 10:03:58.094","0","0","0","12.635854236395774","6.25"
"04/01/2015 10:03:59.094","0","0","0","12.635854236395774","12.5"
"04/01/2015 10:04:00.094","0","0","0","12.522720720043123","21.875"
"04/01/2015 10:04:01.094","0","0","0","12.532749175786293","15.625"
"04/01/2015 10:04:02.094","0","0","0","12.522407330801148","17.1875"
"04/01/2015 10:04:03.094","0","0","0","12.642748799719202","35.9375"
"04/01/2015 10:04:04.094","0","0","0","12.64337557820315","6.25"
"04/01/2015 10:04:05.094","0","0","0","12.643688967445124","12.5"
"04/01/2015 10:04:06.094","0","0","0","12.63710779336367","7.8125"
"04/01/2015 10:04:07.094","0","0","0","12.63804796108959","3.125"
"04/01/2015 10:04:08.094","0","0","0","12.64024168578341","6.25"
"04/01/2015 10:04:09.094","0","0","0","12.635227457911824","6.25"
"04/01/2015 10:04:10.094","0","0","0","12.635227457911824","4.6875"
"04/01/2015 10:04:11.094","0","0","0","12.635227457911824","3.125"
"04/01/2015 10:04:12.094","0","0","0","12.635540847153798","4.6875"
"04/01/2015 10:04:13.094","0","0","0","12.636167625637748","4.6875"
"04/01/2015 10:04:14.094","0","0","0","12.63710779336367","6.25"
"04/01/2015 10:04:15.094","0","0","0","12.637734571847616","4.6875"
"04/01/2015 10:04:16.094","0","0","0","12.635854236395774","3.125"
"04/01/2015 10:04:17.094","0","0","0","12.633660511701954","7.8125"
"04/01/2015 10:04:18.094","0","0","0","12.634287290185902","1.5625"
"04/01/2015 10:04:19.094","0","0","0","12.635227457911824","4.6875"
"04/01/2015 10:04:20.094","0","0","0","12.635854236395774","4.6875"
"04/01/2015 10:04:21.094","0","0","0","12.633033733218005","6.25"
"04/01/2015 10:04:22.094","0","0","0","12.633660511701954","6.25"
"04/01/2015 10:04:23.094","0","0","0","12.634600679427876","7.8125"
"04/01/2015 10:04:24.094","0","0","0","12.633033733218005","3.125"
"04/01/2015 10:04:25.094","0","0","0","12.630840008524189","6.25"
"04/01/2015 10:04:26.094","0","0","0","12.630840008524189","7.8125"
"04/01/2015 10:04:27.094","0","0","0","12.618931217329171","7.8125"
"04/01/2015 10:04:28.094","0","0","0","12.617991049603249","4.6875"
"04/01/2015 10:04:29.094","0","0","0","12.629273062314317","15.625"
"04/01/2015 10:04:30.094","0","0","0","12.775625838316223","40.625"
"04/01/2015 10:04:31.094","0","0","0","12.79756308525441","17.1875"
"04/01/2015 10:04:32.094","0","0","0","13.11157910571246","32.8125"
"04/01/2015 10:04:33.094","0","0","0","13.14824564702343","23.4375"
"04/01/2015 10:04:34.094","0","0","0","13.130069070988931","6.25"
"04/01/2015 10:04:35.094","0","0","0","12.943289082772367","9.375"
"04/01/2015 10:04:36.094","0","0","0","12.465683878003835","1.5625"
"04/01/2015 10:04:37.094","0","0","0","12.465683878003835","4.6875"
"04/01/2015 10:04:38.094","0","0","0","12.465683878003835","14.0625"
"04/01/2015 10:04:39.094","0","0","0","12.469131159665551","9.375"
"04/01/2015 10:04:40.094","0","0","0","12.464743710277913","6.25"
"04/01/2015 10:04:41.094","0","0","0","12.464743710277913","4.6875"
"04/01/2015 10:04:42.094","0","0","0","12.456282200744614","4.6875"
"04/01/2015 10:04:43.094","0","0","0","12.451267972873028","3.125"
"04/01/2015 10:04:44.094","0","0","0","12.442806463339727","6.25"
"04/01/2015 10:04:45.094","0","0","0","12.442806463339727","1.5625"
"04/01/2015 10:04:46.094","0","0","0","12.442806463339727","7.8125"
"04/01/2015 10:04:47.094","0","0","0","12.442806463339727","6.25"
"04/01/2015 10:04:48.094","0","0","0","12.442806463339727","3.125"
"04/01/2015 10:04:49.094","0","0","0","12.442806463339727","4.6875"
"04/01/2015 10:04:50.094","0","0","0","12.442806463339727","6.25"
"04/01/2015 10:04:51.094","0","0","0","12.442806463339727","6.25"
"04/01/2015 10:04:52.094","0","0","0","12.442806463339727","7.8125"
"04/01/2015 10:04:53.094","0","0","0","12.441866295613805","4.6875"
"04/01/2015 10:04:54.094","0","0","0","12.441866295613805","4.6875"
"04/01/2015 10:04:55.094","0","0","0","12.440926127887881","1.5625"
"04/01/2015 10:04:56.094","0","0","0","12.440926127887881","4.6875"
"04/01/2015 10:04:57.094","0","0","0","12.440926127887881","4.6875"
"04/01/2015 10:04:58.094","0","0","0","12.438105624710115","4.6875"
"04/01/2015 10:04:59.094","0","0","0","12.438105624710115","4.6875"
"04/01/2015 10:05:00.094","0","0","0","12.439985960161959","4.6875"
"04/01/2015 10:05:01.094","0","0","0","12.439985960161959","4.6875"
"04/01/2015 10:05:02.094","0","0","0","12.439985960161959","3.125"
"04/01/2015 10:05:03.094","0","0","0","12.439985960161959","1.5625"
"04/01/2015 10:05:04.094","0","0","0","12.439985960161959","4.6875"
"04/01/2015 10:05:05.094","0","0","0","12.439985960161959","3.125"
"04/01/2015 10:05:06.094","0","0","0","12.439985960161959","6.25"
"04/01/2015 10:05:07.094","0","0","0","12.439985960161959","4.6875"
"04/01/2015 10:05:08.094","0","0","0","12.439985960161959","4.6875"
"04/01/2015 10:05:09.094","0","0","0","12.439985960161959","7.8125"
"04/01/2015 10:05:10.094","0","0","0","12.444373409549597","4.6875"
"04/01/2015 10:05:11.094","0","0","0","12.442179684855779","6.25"
"04/01/2015 10:05:12.094","0","0","0","12.436538678500245","1.5625"
"04/01/2015 10:05:13.094","0","0","0","12.436538678500245","6.25"
"04/01/2015 10:05:14.094","0","0","0","12.436538678500245","0"
"04/01/2015 10:05:15.094","0","0","0","12.436538678500245","7.8125"
"04/01/2015 10:05:16.094","0","0","0","12.436538678500245","6.25"
"04/01/2015 10:05:17.094","0","0","0","12.436538678500245","3.125"
"04/01/2015 10:05:18.094","0","0","0","12.436538678500245","4.6875"
"04/01/2015 10:05:19.094","0","0","0","12.436538678500245","4.6875"
"04/01/2015 10:05:20.094","0","0","0","12.436538678500245","3.125"
"04/01/2015 10:05:21.094","0","0","0","12.436538678500245","1.5625"
"04/01/2015 10:05:22.094","0","0","0","12.436538678500245","10.9375"
"04/01/2015 10:05:23.094","0","0","0","12.436225289258271","6.25"
"04/01/2015 10:05:24.094","0","0","0","12.436225289258271","3.125"
"04/01/2015 10:05:25.094","0","0","0","12.436225289258271","6.25"
"04/01/2015 10:05:26.094","0","0","0","12.437792235468141","6.25"
"04/01/2015 10:05:27.094","0","0","0","12.437792235468141","3.125"
"04/01/2015 10:05:28.094","0","0","0","12.437792235468141","4.6875"
"04/01/2015 10:05:29.094","0","0","0","12.437792235468141","4.6875"
"04/01/2015 10:05:30.094","0","0","0","12.437165456984193","4.6875"
"04/01/2015 10:05:31.094","0","0","0","12.437165456984193","3.125"
"04/01/2015 10:05:32.094","0","0","0","12.437165456984193","4.6875"
"04/01/2015 10:05:33.094","0","0","0","12.437165456984193","0"
"04/01/2015 10:05:34.094","0","0","0","12.437165456984193","3.125"
"04/01/2015 10:05:35.094","0","0","0","12.441866295613805","3.125"
"04/01/2015 10:05:36.094","0","0","0","12.441866295613805","4.6875"
"04/01/2015 10:05:37.094","0","0","0","12.441866295613805","4.6875"
"04/01/2015 10:05:38.094","0","0","0","12.441866295613805","3.125"
"04/01/2015 10:05:39.094","0","0","0","12.441866295613805","4.6875"
"04/01/2015 10:05:40.094","0","0","0","12.441866295613805","3.125"
"04/01/2015 10:05:41.094","0","0","0","12.441552906371831","4.6875"
"04/01/2015 10:05:42.094","0","0","0","12.443119852581701","6.25"
"04/01/2015 10:05:43.094","0","0","0","12.435911900016295","4.6875"
"04/01/2015 10:05:44.094","0","0","0","12.435911900016295","4.6875"
"04/01/2015 10:05:45.094","0","0","0","12.435911900016295","4.6875"
"04/01/2015 10:05:46.094","0","0","0","12.435911900016295","6.25"
"04/01/2015 10:05:47.094","0","0","0","12.435911900016295","0"
"04/01/2015 10:05:48.094","0","0","0","12.435911900016295","6.25"
"04/01/2015 10:05:49.094","0","0","0","12.435911900016295","4.6875"
"04/01/2015 10:05:50.094","0","0","0","12.435911900016295","6.25"
"04/01/2015 10:05:51.094","0","0","0","12.435911900016295","7.8125"
"04/01/2015 10:05:52.094","0","0","0","12.434031564564451","7.8125"
"04/01/2015 10:05:53.094","0","0","0","12.434031564564451","14.0625"
"04/01/2015 10:05:54.094","0","0","0","12.434031564564451","18.75"
"04/01/2015 10:05:55.094","0","0","0","12.433404786080503","18.75"
"04/01/2015 10:05:56.094","0","0","0","12.411780928384291","10.9375"
"04/01/2015 10:05:57.094","0","0","0","12.411780928384291","7.8125"
"04/01/2015 10:05:58.094","0","0","0","12.411467539142317","4.6875"
"04/01/2015 10:05:59.094","0","0","0","12.411467539142317","6.25"
"04/01/2015 10:06:00.094","0","0","0","12.410840760658367","6.25"
"04/01/2015 10:06:01.094","0","0","0","12.410840760658367","3.125"
"04/01/2015 10:06:02.094","0","0","0","12.406139922028757","6.25"
"04/01/2015 10:06:03.094","0","0","0","12.406139922028757","6.25"
"04/01/2015 10:06:04.094","0","0","0","12.406139922028757","4.6875"
"04/01/2015 10:06:05.094","0","0","0","12.406139922028757","4.6875"
"04/01/2015 10:06:06.094","0","0","0","12.406139922028757","4.6875"
"04/01/2015 10:06:07.094","0","0","0","12.406139922028757","4.6875"
"04/01/2015 10:06:08.094","0","0","0","12.406139922028757","4.6875"
"04/01/2015 10:06:09.094","0","0","0","12.406139922028757","3.125"
"04/01/2015 10:06:10.094","0","0","0","12.406139922028757","4.6875"
"04/01/2015 10:06:11.094","0","0","0","12.393290963107818","12.5"
"04/01/2015 10:06:12.094","0","0","0","12.393290963107818","7.8125"
"04/01/2015 10:06:13.094","0","0","0","12.397051634011508","6.25"
"04/01/2015 10:06:14.094","0","0","0","12.393604352349792","4.6875"
"04/01/2015 10:06:15.094","0","0","0","12.393604352349792","3.125"
"04/01/2015 10:06:16.094","0","0","0","12.393604352349792","4.6875"
"04/01/2015 10:06:17.094","0","0","0","12.393604352349792","7.8125"
"04/01/2015 10:06:18.094","0","0","0","12.393604352349792","1.5625"
"04/01/2015 10:06:19.094","0","0","0","12.393604352349792","3.125"
"04/01/2015 10:06:20.094","0","0","0","12.393604352349792","4.6875"
"04/01/2015 10:06:21.094","0","0","0","12.393604352349792","6.25"
"04/01/2015 10:06:22.094","0","0","0","12.393604352349792","9.375"
"04/01/2015 10:06:23.094","0","0","0","12.393604352349792","6.25"
"04/01/2015 10:06:24.094","0","0","0","12.393604352349792","4.6875"
"04/01/2015 10:06:25.094","0","0","0","12.393604352349792","3.125"
"04/01/2015 10:06:26.094","0","0","0","12.393604352349792","7.8125"
"04/01/2015 10:06:27.094","0","0","0","12.393604352349792","3.125"
"04/01/2015 10:06:28.094","0","0","0","12.393604352349792","6.25"
"04/01/2015 10:06:29.094","0","0","0","12.393604352349792","3.125"
"04/01/2015 10:06:30.094","0","0","0","12.38576962130044","4.6875"
"04/01/2015 10:06:31.094","0","0","0","12.38576962130044","4.6875"
"04/01/2015 10:06:32.094","0","0","0","12.38576962130044","1.5625"
"04/01/2015 10:06:33.094","0","0","0","12.38576962130044","3.125"
"04/01/2015 10:06:34.094","0","0","0","12.38576962130044","3.125"
"04/01/2015 10:06:35.094","0","0","0","12.38576962130044","4.6875"
"04/01/2015 10:06:36.094","0","0","0","12.38576962130044","3.125"
"04/01/2015 10:06:37.094","0","0","0","12.384516064332542","3.125"
"04/01/2015 10:06:38.094","0","0","0","12.394231130833742","3.125"
"04/01/2015 10:06:39.094","0","0","0","12.394231130833742","3.125"
"04/01/2015 10:06:40.094","0","0","0","12.394231130833742","4.6875"
"04/01/2015 10:06:41.094","0","0","0","12.394231130833742","4.6875"
"04/01/2015 10:06:42.094","0","0","0","12.390157070688078","4.6875"
"04/01/2015 10:06:43.094","0","0","0","12.390157070688078","0"
"04/01/2015 10:06:44.094","0","0","0","12.393290963107818","9.375"
"04/01/2015 10:06:45.094","0","0","0","12.388590124478206","4.6875"
"04/01/2015 10:06:46.094","0","0","0","12.388590124478206","6.25"
"04/01/2015 10:06:47.094","0","0","0","12.388590124478206","1.5625"
"04/01/2015 10:06:48.094","0","0","0","12.388590124478206","4.6875"
"04/01/2015 10:06:49.094","0","0","0","12.388590124478206","9.375"
"04/01/2015 10:06:50.094","0","0","0","12.388590124478206","3.125"
"04/01/2015 10:06:51.094","0","0","0","12.388903513720182","3.125"
"04/01/2015 10:06:52.094","0","0","0","12.394544520075716","6.25"
"04/01/2015 10:06:53.094","0","0","0","12.399872137189275","3.125"
"04/01/2015 10:06:54.094","0","0","0","12.399872137189275","6.25"
"04/01/2015 10:06:55.094","0","0","0","12.393290963107818","4.6875"
"04/01/2015 10:06:56.094","0","0","0","12.393290963107818","1.5625"
"04/01/2015 10:06:57.094","0","0","0","12.393290963107818","4.6875"
"04/01/2015 10:06:58.094","0","0","0","12.393290963107818","3.125"
"04/01/2015 10:06:59.094","0","0","0","12.393290963107818","12.5"
"04/01/2015 10:07:00.094","0","0","0","12.393290963107818","12.5"
"04/01/2015 10:07:01.094","0","0","0","12.393290963107818","17.1875"
"04/01/2015 10:07:02.094","0","0","0","12.391410627655974","17.1875"
"04/01/2015 10:07:03.094","0","0","0","12.384829453574518","10.9375"
"04/01/2015 10:07:04.094","0","0","0","12.382008950396751","6.25"
"04/01/2015 10:07:05.094","0","0","0","12.382008950396751","10.9375"
"04/01/2015 10:07:06.094","0","0","0","12.382008950396751","6.25"
"04/01/2015 10:07:07.094","0","0","0","12.382008950396751","4.6875"
"04/01/2015 10:07:08.094","0","0","0","12.382008950396751","4.6875"
"04/01/2015 10:07:09.094","0","0","0","12.382008950396751","4.6875"
"04/01/2015 10:07:10.094","0","0","0","12.382008950396751","0"
"04/01/2015 10:07:11.094","0","0","0","12.376054554799243","6.25"
"04/01/2015 10:07:12.094","0","0","0","12.376054554799243","1.5625"
"04/01/2015 10:07:13.094","0","0","0","12.376054554799243","6.25"
"04/01/2015 10:07:14.094","0","0","0","12.376054554799243","6.25"
"04/01/2015 10:07:15.094","0","0","0","12.379501836460959","3.125"
"04/01/2015 10:07:16.094","0","0","0","12.379501836460959","7.8125"
"04/01/2015 10:07:17.094","0","0","0","12.374487608589373","4.6875"
"04/01/2015 10:07:18.094","0","0","0","12.374487608589373","1.5625"
"04/01/2015 10:07:19.094","0","0","0","12.374487608589373","4.6875"
"04/01/2015 10:07:20.094","0","0","0","12.374487608589373","3.125"
"04/01/2015 10:07:21.094","0","0","0","12.374487608589373","3.125"
"04/01/2015 10:07:22.094","0","0","0","12.374487608589373","7.8125"
"04/01/2015 10:07:23.094","0","0","0","12.374487608589373","4.6875"
"04/01/2015 10:07:24.094","0","0","0","12.374487608589373","1.5625"
"04/01/2015 10:07:25.094","0","0","0","12.374487608589373","1.5625"
"04/01/2015 10:07:26.094","0","0","0","12.374487608589373","6.25"
"04/01/2015 10:07:27.094","0","0","0","12.374487608589373","0"
"04/01/2015 10:07:28.094","0","0","0","12.374487608589373","4.6875"
"04/01/2015 10:07:29.094","0","0","0","12.374487608589373","6.25"
"04/01/2015 10:07:30.094","0","0","0","12.374487608589373","3.125"
"04/01/2015 10:07:31.094","0","0","0","12.374487608589373","4.6875"
"04/01/2015 10:07:32.094","0","0","0","12.374487608589373","4.6875"
"04/01/2015 10:07:33.094","0","0","0","12.369473380717787","6.25"
"04/01/2015 10:07:34.094","0","0","0","12.369473380717787","3.125"
"04/01/2015 10:07:35.094","0","0","0","12.369473380717787","4.6875"
"04/01/2015 10:07:36.094","0","0","0","12.361638649668434","6.25"
"04/01/2015 10:07:37.094","0","0","0","12.361638649668434","1.5625"
"04/01/2015 10:07:38.094","0","0","0","12.361638649668434","3.125"
"04/01/2015 10:07:39.094","0","0","0","12.361638649668434","7.8125"
"04/01/2015 10:07:40.094","0","0","0","12.361638649668434","4.6875"
"04/01/2015 10:07:41.094","0","0","0","12.361638649668434","3.125"
"04/01/2015 10:07:42.094","0","0","0","12.358818146490668","3.125"
"04/01/2015 10:07:43.094","0","0","0","12.358818146490668","6.25"
"04/01/2015 10:07:44.094","0","0","0","12.358818146490668","3.125"
"04/01/2015 10:07:45.094","0","0","0","12.358818146490668","3.125"
"04/01/2015 10:07:46.094","0","0","0","12.356937811038822","4.6875"
"04/01/2015 10:07:47.094","0","0","0","12.361638649668434","4.6875"
"04/01/2015 10:07:48.094","0","0","0","12.3559976433129","3.125"
"04/01/2015 10:07:49.094","0","0","0","12.3559976433129","3.125"
"04/01/2015 10:07:50.094","0","0","0","12.3559976433129","4.6875"
"04/01/2015 10:07:51.094","0","0","0","12.3559976433129","3.125"
"04/01/2015 10:07:52.094","0","0","0","12.3559976433129","4.6875"
"04/01/2015 10:07:53.094","0","0","0","12.3559976433129","3.125"
"04/01/2015 10:07:54.094","0","0","0","12.3559976433129","3.125"
"04/01/2015 10:07:55.094","0","0","0","12.3559976433129","9.375"
"04/01/2015 10:07:56.094","0","0","0","12.3559976433129","1.5625"
"04/01/2015 10:07:57.094","0","0","0","12.3559976433129","3.125"
"04/01/2015 10:07:58.094","0","0","0","12.3559976433129","4.6875"
"04/01/2015 10:07:59.094","0","0","0","12.3559976433129","4.6875"
"04/01/2015 10:08:00.094","0","0","0","12.3559976433129","3.125"
"04/01/2015 10:08:01.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:02.094","0","0","0","12.3559976433129","4.6875"
"04/01/2015 10:08:03.094","0","0","0","12.3559976433129","7.8125"
"04/01/2015 10:08:04.094","0","0","0","12.3559976433129","1.5625"
"04/01/2015 10:08:05.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:06.094","0","0","0","12.3559976433129","7.8125"
"04/01/2015 10:08:07.094","0","0","0","12.3559976433129","1.5625"
"04/01/2015 10:08:08.094","0","0","0","12.3559976433129","1.5625"
"04/01/2015 10:08:09.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:10.094","0","0","0","12.3559976433129","3.125"
"04/01/2015 10:08:11.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:12.094","0","0","0","12.3559976433129","1.5625"
"04/01/2015 10:08:13.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:14.094","0","0","0","12.3559976433129","1.5625"
"04/01/2015 10:08:15.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:16.094","0","0","0","12.3559976433129","3.125"
"04/01/2015 10:08:17.094","0","0","0","12.3559976433129","4.6875"
"04/01/2015 10:08:18.094","0","0","0","12.36132526042646","6.25"
"04/01/2015 10:08:19.094","0","0","0","12.3559976433129","9.375"
"04/01/2015 10:08:20.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:21.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:22.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:23.094","0","0","0","12.3559976433129","6.25"
"04/01/2015 10:08:24.094","0","0","0","12.3559976433129","1.5625"
"04/01/2015 10:08:25.094","0","0","0","12.3559976433129","7.8125"
"04/01/2015 10:08:26.094","0","0","0","12.3559976433129","9.375"
"04/01/2015 10:08:27.094","0","0","0","12.3559976433129","6.25"
