Time ICMP_Messages_Sent/sec ICMP_Messages/sec ICMP_Sent_Echo/sec Memory_%_Committed_Bytes_In_Use %_Processor_Time Worm
03/28/2015_14:08:15.134 1 2 3 3 1 no
03/28/2015_14:08:16.134 1 2 3 3 1 no
03/28/2015_14:08:17.134 1 1 3 3 2 no
03/28/2015_14:08:18.150 1 1 1 3 4 yes
03/28/2015_14:08:19.150 1 1 1 3 2 no
03/28/2015_14:08:20.165 1 1 3 3 1 no
03/28/2015_14:08:21.165 1 1 1 3 1 no
03/28/2015_14:08:22.165 1 1 1 3 1 no
03/28/2015_14:08:23.165 1 1 1 3 1 no
03/28/2015_14:08:24.165 1 1 1 3 2 no
03/28/2015_14:08:25.165 1 1 4 3 2 no
03/28/2015_14:08:26.165 1 1 1 3 2 no
03/28/2015_14:08:27.165 1 1 1 3 3 yes
03/28/2015_14:08:28.165 1 1 1 3 3 yes
03/28/2015_14:08:29.165 2 2 1 3 3 yes
03/28/2015_14:08:30.165 1 1 1 3 3 yes
03/28/2015_14:08:31.165 1 1 4 3 4 yes
03/28/2015_14:08:32.165 1 1 1 3 4 yes
03/28/2015_14:08:33.165 1 1 1 3 2 no
03/28/2015_14:08:34.165 1 1 1 3 3 yes
03/28/2015_14:08:35.181 1 1 1 3 2 no
03/28/2015_14:08:36.181 1 1 3 3 2 no
03/28/2015_14:08:37.181 2 2 1 3 4 yes
03/28/2015_14:08:38.197 1 1 1 3 1 no
03/28/2015_14:08:39.212 1 1 1 3 1 no
03/28/2015_14:08:40.212 2 2 1 3 2 no
03/28/2015_14:08:41.212 1 1 1 3 3 yes
03/28/2015_14:08:42.212 1 1 1 3 3 yes
03/28/2015_14:08:43.212 1 1 1 3 4 yes
03/28/2015_14:08:44.228 1 1 1 3 3 yes
03/28/2015_14:08:45.228 1 1 1 3 2 no
03/28/2015_14:08:46.228 1 1 3 3 1 no
03/28/2015_14:08:47.228 2 2 1 3 4 yes
03/28/2015_14:08:48.243 1 1 1 3 2 no
03/28/2015_14:08:49.259 1 1 1 3 1 no
03/28/2015_14:08:50.259 1 1 1 3 2 no
03/28/2015_14:08:51.275 1 1 3 3 2 no
03/28/2015_14:08:52.290 1 1 1 3 2 no
03/28/2015_14:08:53.306 1 1 1 3 4 yes
03/28/2015_14:08:54.306 1 1 1 3 2 no
03/28/2015_14:08:55.306 1 1 1 3 2 no
03/28/2015_14:08:56.306 1 1 3 3 3 yes
03/28/2015_14:08:57.306 1 1 1 3 2 no
03/28/2015_14:08:58.306 1 1 1 3 4 yes
03/28/2015_14:08:59.306 1 1 1 3 3 yes
03/28/2015_14:09:00.306 1 1 1 3 4 yes
03/28/2015_14:09:01.322 1 1 1 3 4 yes
03/28/2015_14:09:02.322 1 1 3 3 2 no
03/28/2015_14:09:03.322 1 1 1 3 2 no
03/28/2015_14:09:04.322 1 1 1 3 2 no
03/28/2015_14:09:05.337 1 1 1 3 3 yes
03/28/2015_14:09:06.337 1 1 1 3 2 no
03/28/2015_14:09:07.337 1 1 1 3 2 no
03/28/2015_14:09:08.353 1 1 1 3 3 yes
03/28/2015_14:09:09.353 1 2 3 3 2 no
03/28/2015_14:09:10.353 1 2 3 3 2 no
03/28/2015_14:09:11.353 1 2 4 3 3 yes
03/28/2015_14:09:12.353 1 1 3 3 4 yes
03/28/2015_14:09:13.368 1 1 1 3 4 yes
03/28/2015_14:09:14.368 2 2 4 3 2 no
03/28/2015_14:09:15.368 1 1 3 3 4 yes
03/28/2015_14:09:16.368 1 2 4 4 4 yes
03/28/2015_14:09:17.368 2 2 3 4 4 yes
03/28/2015_14:09:18.368 3 2 1 4 4 yes
03/28/2015_14:09:19.368 1 1 3 4 4 yes
03/28/2015_14:09:20.368 4 4 4 4 4 yes
03/28/2015_14:09:21.368 1 2 3 4 4 yes
03/28/2015_14:09:22.368 1 1 4 4 4 yes
03/28/2015_14:09:23.368 1 1 1 4 4 yes
03/28/2015_14:09:24.368 1 1 1 4 4 yes
03/28/2015_14:09:25.368 1 1 1 4 4 yes
03/28/2015_14:09:26.368 1 1 1 4 4 yes
03/28/2015_14:09:27.368 3 2 1 4 3 yes
03/28/2015_14:09:28.368 1 1 1 4 4 yes
03/28/2015_14:09:29.368 1 1 1 4 3 yes
03/28/2015_14:09:30.368 1 1 1 4 2 no
03/28/2015_14:09:31.368 1 1 1 4 2 no
03/28/2015_14:09:32.368 1 1 1 4 2 no
03/28/2015_14:09:33.368 1 1 1 4 2 no
03/28/2015_14:09:34.368 1 1 1 4 4 yes
03/28/2015_14:09:35.368 1 1 1 4 2 no
03/28/2015_14:09:36.368 1 1 1 4 2 no
03/28/2015_14:09:37.384 1 1 1 4 4 yes
03/28/2015_14:09:38.384 1 1 1 4 2 no
03/28/2015_14:09:39.384 1 1 1 4 2 no
03/28/2015_14:09:40.400 1 2 3 4 1 no
03/28/2015_14:09:41.400 1 1 3 4 1 no
03/28/2015_14:09:42.400 1 2 4 4 2 yes
03/28/2015_14:09:43.400 1 1 4 4 4 yes
03/28/2015_14:09:44.400 1 2 1 4 4 yes
03/28/2015_14:09:45.400 1 1 1 4 2 no
03/28/2015_14:09:46.400 1 1 1 4 2 no
03/28/2015_14:09:47.400 1 1 1 4 4 yes
03/28/2015_14:09:48.400 2 2 1 4 3 yes
03/28/2015_14:09:49.400 1 1 1 4 3 yes
03/28/2015_14:09:50.400 1 1 1 4 3 yes
03/28/2015_14:09:51.400 1 1 1 4 4 yes
03/28/2015_14:09:52.400 1 1 1 4 4 yes
03/28/2015_14:09:53.400 1 1 1 4 4 yes
03/28/2015_14:09:54.400 1 1 1 4 2 no
03/28/2015_14:09:55.400 2 2 1 4 1 no
03/28/2015_14:09:56.415 1 1 1 4 3 yes
