Time ICMP_Messages_Sent/sec ICMP_Messages/sec ICMP_Sent_Echo/sec Memory_%_Committed_Bytes_In_Use %_Processor_Time Worm
03/28/2015_14:02:35.447 1 1 1 3 1 no
03/28/2015_14:02:36.462 1 1 1 3 1 no
03/28/2015_14:02:37.462 1 1 1 3 1 no
03/28/2015_14:02:38.462 1 1 1 3 1 no
03/28/2015_14:02:39.462 1 1 1 3 1 no
03/28/2015_14:02:40.478 1 1 1 3 1 no
03/28/2015_14:02:41.493 1 1 1 3 1 no
03/28/2015_14:02:42.493 1 1 1 3 1 no
03/28/2015_14:02:43.493 1 1 1 3 1 no
03/28/2015_14:02:44.509 1 1 1 3 2 no
03/28/2015_14:02:45.509 1 1 1 3 3 no
03/28/2015_14:02:46.509 1 1 1 3 3 no
03/28/2015_14:02:47.509 1 1 1 3 2 no
03/28/2015_14:02:48.509 1 1 1 3 1 no
03/28/2015_14:02:49.509 1 1 1 3 2 no
03/28/2015_14:02:50.509 1 1 1 3 1 no
03/28/2015_14:02:51.509 1 1 1 3 1 no
03/28/2015_14:02:52.509 1 1 1 3 1 no
03/28/2015_14:02:53.509 1 1 1 3 1 no
03/28/2015_14:02:54.509 1 2 4 3 2 no
03/28/2015_14:02:55.509 1 2 4 3 2 no
03/28/2015_14:02:56.509 1 1 3 3 4 yes
03/28/2015_14:02:57.509 1 2 4 3 3 yes
03/28/2015_14:02:58.509 1 1 3 3 4 yes
03/28/2015_14:02:59.525 1 1 1 3 4 yes
03/28/2015_14:03:00.540 1 1 1 3 3 no
03/28/2015_14:03:01.540 1 1 1 3 4 yes
03/28/2015_14:03:02.556 1 1 1 3 4 yes
03/28/2015_14:03:03.556 2 2 1 3 4 yes
03/28/2015_14:03:04.556 1 1 4 3 4 yes
03/28/2015_14:03:05.556 2 2 1 3 4 yes
03/28/2015_14:03:06.572 3 2 1 3 4 yes
03/28/2015_14:03:07.572 1 1 1 3 4 yes
03/28/2015_14:03:08.572 1 1 1 3 4 yes
03/28/2015_14:03:09.572 1 1 4 3 4 yes
03/28/2015_14:03:10.572 1 1 1 3 4 yes
03/28/2015_14:03:11.572 1 1 1 3 4 yes
03/28/2015_14:03:12.572 2 2 1 3 4 yes
03/28/2015_14:03:13.572 2 2 1 3 2 no
03/28/2015_14:03:14.572 2 2 1 3 3 yes
03/28/2015_14:03:15.572 1 1 3 3 2 no
03/28/2015_14:03:16.572 1 1 1 3 1 no
03/28/2015_14:03:17.572 1 1 1 3 2 no
03/28/2015_14:03:18.572 1 1 1 3 4 yes
03/28/2015_14:03:19.572 1 1 1 3 1 no
03/28/2015_14:03:20.572 1 1 1 3 1 no
03/28/2015_14:03:21.572 1 1 3 3 1 no
03/28/2015_14:03:22.572 1 1 1 3 2 no
03/28/2015_14:03:23.572 1 1 1 3 1 no
03/28/2015_14:03:24.572 1 1 1 3 1 no
03/28/2015_14:03:25.572 1 1 1 3 2 no
03/28/2015_14:03:26.572 1 1 1 3 1 no
03/28/2015_14:03:27.572 1 1 3 3 1 no
03/28/2015_14:03:28.572 1 1 1 3 1 no
03/28/2015_14:03:29.572 1 1 1 3 2 no
03/28/2015_14:03:30.572 1 1 1 3 2 no
03/28/2015_14:03:31.572 1 1 1 3 1 no
03/28/2015_14:03:32.572 1 1 3 3 1 no
03/28/2015_14:03:33.572 1 1 1 3 2 no
03/28/2015_14:03:34.572 1 1 1 3 1 no
03/28/2015_14:03:35.572 1 1 1 3 1 no
03/28/2015_14:03:36.572 1 1 1 3 1 no
03/28/2015_14:03:37.572 1 1 1 3 1 no
03/28/2015_14:03:38.572 1 1 3 3 1 no
03/28/2015_14:03:39.572 1 1 1 3 1 no
03/28/2015_14:03:40.572 1 1 1 3 1 no
03/28/2015_14:03:41.572 1 1 1 3 1 no
03/28/2015_14:03:42.572 1 1 1 3 1 no
03/28/2015_14:03:43.572 1 1 3 3 2 no
03/28/2015_14:03:44.572 2 2 4 3 1 no
03/28/2015_14:03:45.572 1 1 3 3 1 no
03/28/2015_14:03:46.572 1 2 4 3 1 no
03/28/2015_14:03:47.572 1 1 1 3 4 yes
03/28/2015_14:03:48.587 1 1 1 3 2 no
03/28/2015_14:03:49.587 1 1 3 3 1 no
03/28/2015_14:03:50.587 1 1 1 3 1 no
03/28/2015_14:03:51.587 1 1 1 3 1 no
03/28/2015_14:03:52.603 1 1 1 3 1 no
03/28/2015_14:03:53.603 4 3 1 3 2 no
03/28/2015_14:03:54.603 1 1 3 3 1 no
03/28/2015_14:03:55.603 1 1 1 3 1 no
03/28/2015_14:03:56.603 1 1 1 3 1 no
03/28/2015_14:03:57.603 1 1 1 3 3 no
03/28/2015_14:03:58.603 1 1 1 3 4 yes
03/28/2015_14:03:59.603 1 1 1 3 4 yes
03/28/2015_14:04:00.618 1 1 3 3 2 no
03/28/2015_14:04:01.618 1 1 1 3 1 no
03/28/2015_14:04:02.634 1 1 1 3 4 yes
03/28/2015_14:04:03.634 1 1 1 3 3 no
03/28/2015_14:04:04.634 2 2 1 3 3 yes
03/28/2015_14:04:05.634 3 2 3 3 2 no
03/28/2015_14:04:06.634 4 4 1 3 3 yes
03/28/2015_14:04:07.634 3 2 1 3 4 yes
03/28/2015_14:04:08.634 2 2 1 3 3 yes
03/28/2015_14:04:09.634 1 1 1 3 4 yes
03/28/2015_14:04:10.634 4 3 1 3 3 yes
03/28/2015_14:04:11.634 1 1 1 3 2 no
03/28/2015_14:04:12.634 1 1 1 3 3 no
03/28/2015_14:04:13.634 1 1 1 3 3 no
03/28/2015_14:04:14.634 1 1 1 3 3 no
03/28/2015_14:04:15.634 1 1 1 3 2 no
03/28/2015_14:04:16.634 2 2 1 3 1 no
03/28/2015_14:04:17.634 1 1 1 3 2 no
03/28/2015_14:04:18.634 1 1 1 3 3 no
03/28/2015_14:04:19.634 1 1 1 3 3 no
03/28/2015_14:04:20.634 3 2 1 3 2 no
03/28/2015_14:04:21.650 1 1 1 3 2 no
03/28/2015_14:04:22.650 1 1 1 3 1 no
03/28/2015_14:04:23.665 3 2 1 3 1 no
03/28/2015_14:04:24.665 1 1 1 3 1 no
03/28/2015_14:04:25.665 2 2 1 3 1 no
03/28/2015_14:04:26.665 1 1 1 3 1 no
03/28/2015_14:04:27.665 1 1 1 3 1 no
03/28/2015_14:04:28.665 1 1 1 3 2 no
03/28/2015_14:04:29.665 4 3 1 3 1 no
03/28/2015_14:04:30.665 4 4 1 3 3 yes
03/28/2015_14:04:31.665 2 2 1 3 1 no
03/28/2015_14:04:32.665 1 1 1 3 1 no
03/28/2015_14:04:33.665 1 1 1 3 1 no
03/28/2015_14:04:34.681 1 1 1 3 2 no
03/28/2015_14:04:35.697 1 1 1 3 1 no
03/28/2015_14:04:36.697 1 1 1 3 1 no
03/28/2015_14:04:37.697 2 2 1 3 1 no
03/28/2015_14:04:38.712 1 1 1 3 2 no
03/28/2015_14:04:39.728 1 1 1 3 1 no
03/28/2015_14:04:40.728 1 1 1 3 2 no
03/28/2015_14:04:41.743 1 1 1 3 1 no
03/28/2015_14:04:42.743 1 1 1 3 1 no
03/28/2015_14:04:43.743 1 1 1 3 2 no
03/28/2015_14:04:44.759 1 1 1 3 2 no
03/28/2015_14:04:45.759 1 1 1 3 1 no
03/28/2015_14:04:46.759 1 1 1 3 1 no
03/28/2015_14:04:47.759 1 1 1 3 1 no
03/28/2015_14:04:48.759 1 1 1 3 2 no
03/28/2015_14:04:49.759 1 1 1 3 1 no
03/28/2015_14:04:50.759 1 1 1 3 1 no
