Time ICMP_Messages_Sent/sec ICMP_Messages/sec ICMP_Sent_Echo/sec Memory_%_Committed_Bytes_In_Use %_Processor_Time Worm
03/30/2015_10:37:05.937 1 1 1 1 1 no
03/30/2015_10:37:06.937 1 1 3 1 1 no
03/30/2015_10:37:07.937 1 1 1 1 1 no
03/30/2015_10:37:08.937 1 1 1 1 1 no
03/30/2015_10:37:09.937 1 1 1 1 1 no
03/30/2015_10:37:10.937 1 1 1 1 1 no
03/30/2015_10:37:11.937 1 1 1 1 1 no
03/30/2015_10:37:12.937 1 1 4 1 1 no
03/30/2015_10:37:13.937 1 1 1 1 1 no
03/30/2015_10:37:14.937 1 1 1 1 1 no
03/30/2015_10:37:15.937 1 1 1 1 1 no
03/30/2015_10:37:16.937 1 1 1 1 1 no
03/30/2015_10:37:17.937 1 1 4 1 1 no
03/30/2015_10:37:18.937 1 1 1 1 1 no
03/30/2015_10:37:19.937 1 1 1 1 1 no
03/30/2015_10:37:20.937 1 1 1 1 1 no
03/30/2015_10:37:21.937 1 1 1 1 1 no
03/30/2015_10:37:22.937 1 1 1 1 1 no
03/30/2015_10:37:23.937 1 1 1 1 1 no
03/30/2015_10:37:24.937 1 1 1 1 1 no
03/30/2015_10:37:25.953 1 1 1 1 1 no
03/30/2015_10:37:26.968 3 3 3 1 1 no
03/30/2015_10:37:27.968 1 1 4 1 1 no
03/30/2015_10:37:28.968 1 1 3 1 1 no
03/30/2015_10:37:29.968 1 2 4 1 1 no
03/30/2015_10:37:30.968 1 1 1 1 1 no
03/30/2015_10:37:31.968 1 1 1 1 2 no
03/30/2015_10:37:32.984 1 1 3 1 2 no
03/30/2015_10:37:33.984 1 1 3 1 4 yes
03/30/2015_10:37:34.984 1 2 4 1 2 no
03/30/2015_10:37:36.000 1 1 3 1 3 no
03/30/2015_10:37:37.000 1 1 1 1 4 yes
03/30/2015_10:37:38.000 1 1 1 2 4 yes
03/30/2015_10:37:39.000 1 1 1 2 4 yes
03/30/2015_10:37:40.000 1 1 1 3 4 yes
03/30/2015_10:37:41.000 1 1 1 2 4 yes
03/30/2015_10:37:42.000 1 1 1 2 4 yes
03/30/2015_10:37:43.015 1 1 1 2 4 yes
03/30/2015_10:37:44.031 1 1 1 2 4 yes
03/30/2015_10:37:45.046 1 1 1 2 2 no
03/30/2015_10:37:46.046 3 3 3 2 2 no
03/30/2015_10:37:47.046 1 1 4 3 4 yes
03/30/2015_10:37:48.046 1 1 1 2 3 no
03/30/2015_10:37:49.046 1 1 1 3 2 no
03/30/2015_10:37:50.046 1 1 1 3 2 no
03/30/2015_10:37:51.046 1 1 1 3 4 yes
03/30/2015_10:37:52.046 1 2 4 3 4 yes
03/30/2015_10:37:53.046 1 1 3 3 4 yes
03/30/2015_10:37:54.046 1 1 1 3 4 yes
03/30/2015_10:37:55.062 1 1 3 3 4 yes
03/30/2015_10:37:56.125 1 1 1 3 2 no
03/30/2015_10:37:57.125 1 1 1 3 2 no
03/30/2015_10:37:58.125 1 1 1 3 1 no
03/30/2015_10:37:59.125 1 1 1 3 4 yes
03/30/2015_10:38:00.125 1 2 4 3 4 yes
03/30/2015_10:38:01.125 1 1 3 3 4 yes
03/30/2015_10:38:02.125 1 1 1 3 4 yes
03/30/2015_10:38:03.125 1 1 1 3 4 yes
03/30/2015_10:38:04.125 1 1 1 3 4 yes
03/30/2015_10:38:05.125 1 1 1 3 4 yes
03/30/2015_10:38:06.125 1 1 1 3 4 yes
03/30/2015_10:38:07.125 1 1 3 3 4 yes
03/30/2015_10:38:08.125 1 1 1 3 4 yes
03/30/2015_10:38:09.125 1 1 1 3 4 yes
03/30/2015_10:38:10.125 1 1 1 4 4 yes
03/30/2015_10:38:11.125 1 1 1 4 4 yes
03/30/2015_10:38:12.125 1 1 1 3 4 yes
03/30/2015_10:38:13.125 1 1 1 3 4 yes
03/30/2015_10:38:14.140 1 1 1 4 3 yes
03/30/2015_10:38:15.140 1 1 1 4 4 yes
03/30/2015_10:38:16.218 1 1 1 4 4 yes
03/30/2015_10:38:17.234 1 1 1 4 4 yes
03/30/2015_10:38:18.281 1 1 1 4 4 yes
03/30/2015_10:38:19.281 1 1 1 4 4 yes
03/30/2015_10:38:20.281 1 1 1 4 4 yes
03/30/2015_10:38:21.281 1 1 1 4 4 yes
03/30/2015_10:38:22.640 1 1 1 4 4 yes
03/30/2015_10:38:23.640 1 1 1 4 4 yes
03/30/2015_10:38:24.640 1 1 1 4 4 yes
03/30/2015_10:38:25.656 1 1 1 4 4 yes
03/30/2015_10:38:26.812 1 1 1 4 4 yes
03/30/2015_10:38:27.812 1 1 1 4 4 yes
03/30/2015_10:38:28.812 1 1 1 3 4 yes
03/30/2015_10:38:29.812 1 1 1 3 4 yes
03/30/2015_10:38:30.812 1 1 1 3 4 yes
03/30/2015_10:38:31.812 1 1 1 3 4 yes
03/30/2015_10:38:32.812 1 1 1 3 2 no
03/30/2015_10:38:33.812 1 1 1 3 2 no
03/30/2015_10:38:34.812 1 1 1 3 2 no
03/30/2015_10:38:35.812 1 1 1 2 2 no
03/30/2015_10:38:36.828 1 1 1 2 1 no
03/30/2015_10:38:37.843 1 1 1 2 2 no
03/30/2015_10:38:38.843 1 1 1 2 3 no
03/30/2015_10:38:39.843 1 1 3 3 3 yes
03/30/2015_10:38:40.843 1 1 1 3 2 no
03/30/2015_10:38:41.843 1 1 1 3 2 no
03/30/2015_10:38:42.859 1 1 1 3 2 no
03/30/2015_10:38:43.859 1 1 1 3 1 no
03/30/2015_10:38:44.859 1 1 1 3 3 yes
03/30/2015_10:38:45.859 1 1 4 3 3 yes
03/30/2015_10:38:46.859 1 1 1 3 2 no
03/30/2015_10:38:47.859 1 1 1 3 2 no
03/30/2015_10:38:48.859 1 1 1 3 4 yes
03/30/2015_10:38:49.859 1 1 1 3 4 yes
03/30/2015_10:38:50.859 1 1 3 3 4 yes
03/30/2015_10:38:51.859 1 1 1 3 4 yes
03/30/2015_10:38:52.859 1 1 1 3 4 yes
03/30/2015_10:38:53.859 1 1 1 3 4 yes
03/30/2015_10:38:54.859 1 1 1 3 4 yes
03/30/2015_10:38:55.859 1 1 1 3 3 yes
03/30/2015_10:38:56.859 1 1 3 3 3 yes
03/30/2015_10:38:57.859 1 1 1 3 3 yes
03/30/2015_10:38:58.859 1 1 1 3 3 yes
03/30/2015_10:38:59.859 1 1 1 3 4 yes
03/30/2015_10:39:00.859 1 1 3 3 3 yes
03/30/2015_10:39:01.859 1 1 1 3 2 no
03/30/2015_10:39:02.859 1 1 1 3 2 no
03/30/2015_10:39:03.859 1 1 1 3 2 no
03/30/2015_10:39:04.859 1 1 1 3 3 yes
03/30/2015_10:39:05.875 1 1 1 3 3 yes
03/30/2015_10:39:06.890 1 1 3 2 3 no
03/30/2015_10:39:07.890 1 1 1 2 2 no
03/30/2015_10:39:08.890 1 1 1 2 3 no
03/30/2015_10:39:09.890 1 1 1 3 2 no
03/30/2015_10:39:10.890 1 1 1 3 3 yes
03/30/2015_10:39:11.890 1 1 3 2 4 yes
03/30/2015_10:39:12.906 1 1 1 2 2 no
03/30/2015_10:39:13.906 1 1 1 2 2 no
03/30/2015_10:39:14.906 1 1 1 2 1 no
03/30/2015_10:39:15.906 1 1 1 2 3 no
03/30/2015_10:39:16.906 1 1 3 2 2 no
03/30/2015_10:39:17.921 1 1 1 2 1 no
03/30/2015_10:39:18.921 1 1 1 2 1 no
03/30/2015_10:39:19.921 1 1 1 2 1 no
03/30/2015_10:39:20.921 1 1 1 2 1 no
03/30/2015_10:39:21.921 1 1 1 2 2 no
